;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
72;0.4093;98.0803;27812.3102;0.1611;79.7518;2053689.5687;15.1805;37.7776;0.0;0.0;94.6678;0.0;497.344;598.1819;0.0;57.6537;893.9538;10.0905;11104.4104;1.5469;0.3061;115.0764;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
73;0.4753;99.6441;27285.6831;0.1607;77.4575;1923998.931;15.7645;34.0423;0.0;0.0;93.4658;0.0;459.2362;556.896;0.0;68.1379;872.1328;10.2989;8420.206;2.9603;0.3322;112.2334;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
74;0.3653;89.4423;28605.5911;0.1419;74.2229;1949038.2302;16.336;44.4943;0.0;0.0;95.2639;0.0;432.833;559.892;0.0;64.6564;854.5111;10.9398;11706.1008;1.9198;0.2728;115.5337;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
75;0.4139;86.3206;28685.6935;0.1651;69.2392;1969598.1287;15.5143;44.6698;0.0;0.0;95.812;0.0;427.6023;557.9428;0.0;61.6772;892.3064;11.651;9896.7236;2.952;0.4232;116.873;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
76;0.3508;93.2297;26575.4163;0.1461;78.6388;1894618.4384;15.8498;30.1617;0.0;0.0;93.195;0.0;462.3872;553.2469;0.0;69.3237;852.904;10.9253;11885.1932;2.0081;0.3125;103.1247;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
77;0.5105;95.1706;27511.1213;0.2233;74.564;1974136.8939;16.6676;34.8821;0.0;0.0;93.5824;0.0;418.6492;577.4347;0.0;53.0248;859.4117;11.0282;8686.9468;1.6707;0.4442;115.9942;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
78;0.499;106.13;28163.9277;0.1801;83.0042;2042565.281;16.793;42.6852;0.0;0.0;93.2067;0.0;460.7008;597.342;0.0;64.3282;861.2036;10.5609;8363.3046;2.4233;0.3525;110.0833;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
79;0.4712;93.1455;28609.7448;0.1707;72.2815;1986353.7847;15.3126;46.6815;0.0;0.0;93.7474;0.0;442.5249;564.7957;0.0;63.7506;883.4656;10.4401;9119.1626;1.6168;0.2802;110.2095;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
80;0.4008;107.7646;27655.324;0.1435;89.6622;1945541.4113;16.5509;40.3626;0.0;0.0;95.0483;0.0;514.9111;557.395;0.0;65.9313;876.5037;11.7597;9139.21;2.2861;0.2254;103.817;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
81;0.4171;107.1286;28354.2759;0.1722;89.5394;2036495.8389;16.8798;48.2849;0.0;0.0;95.8193;0.0;508.2763;580.0064;0.0;52.7469;896.1825;10.9108;10611.5737;1.6465;0.3165;101.2589;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
82;0.4352;89.1846;26978.5027;0.1551;68.5423;1988013.1915;15.4362;33.6486;0.0;0.0;94.6782;0.0;420.4055;585.1928;0.0;62.7537;851.2266;10.2582;9388.3831;2.6804;0.338;104.4175;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
