;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
146;0.8106;171.3641;76550.5403;0.2102;149.4277;2796773.6373;1.0051;0.0;36.6827;75.3989;95.9529;0.0;428.3865;556.4872;0.0;0.0;884.4158;11.2712;11311.5307;2.0288;8.9812;171.0309;43.019;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
147;0.7924;227.7128;75853.7637;0.2196;204.9113;3019562.1274;1.1036;0.0;38.2164;65.1264;93.954;0.0;523.872;586.1319;0.0;0.0;895.0069;11.2467;11774.8248;2.2129;9.3127;187.4043;38.5602;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
148;0.9948;195.6509;75989.6663;0.2405;167.5412;2831823.4617;1.0131;0.0;31.6897;68.9159;94.6833;0.0;470.2172;560.6654;0.0;0.0;865.721;10.4293;9659.5237;1.5702;8.6698;165.5545;39.5237;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
149;0.8253;266.4377;76593.9824;0.2377;242.1552;3165413.9663;1.3596;0.0;43.8909;76.5386;94.529;0.0;505.5959;598.3447;0.0;0.0;860.1108;11.0572;11789.4095;2.4174;8.8101;171.2759;42.2961;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
150;1.0959;238.764;77762.738;0.3138;211.5692;2703802.4732;1.475;0.0;35.902;74.0974;95.0402;0.0;409.377;550.7906;0.0;0.0;860.8442;11.0441;9002.4011;2.0229;9.9384;198.1613;59.6804;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
151;1.0423;284.2482;75756.8493;0.2754;254.6205;2926553.4808;1.4986;0.0;40.1342;72.943;93.2025;0.0;475.5442;558.9195;0.0;0.0;872.0051;10.644;9280.1042;2.5987;9.1633;161.0715;33.4819;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
152;1.0141;245.0852;76495.0045;0.2708;217.7696;2810935.189;1.4002;0.0;36.2127;74.2024;94.0246;0.0;439.1415;554.2683;0.0;0.0;890.3335;10.2405;10048.9325;2.3094;9.4403;187.8727;42.6788;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
153;0.9562;231.2742;76575.1061;0.2551;202.4201;3151376.5332;1.1336;0.0;32.1491;78.8501;95.3573;0.0;511.3327;586.5283;0.0;0.0;882.4274;11.369;9606.6107;1.7994;9.2259;167.1369;41.9045;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
154;1.0843;306.6918;76545.505;0.2678;273.8829;3075706.4855;1.4263;0.0;33.7016;69.4727;93.0115;0.0;536.3478;578.8784;0.0;0.0;859.584;10.7668;8706.9617;2.3175;8.5303;164.7185;47.0322;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
155;0.8998;251.2399;77587.1035;0.2796;228.8365;2802601.0104;1.595;0.0;32.5674;77.1896;95.5535;0.0;411.6869;579.3623;0.0;0.0;899.2028;10.5456;11862.4935;2.5801;9.6257;188.7207;55.516;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
156;1.0062;308.7678;76540.719;0.2826;279.4357;3102678.0728;1.4577;0.0;43.6071;69.5047;93.0677;0.0;535.7577;576.6726;0.0;0.0;851.2627;11.3071;9354.9548;2.092;8.9302;198.624;45.1518;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
