;Vehicle;TCO (€/km);LCE;TCO_Capex (€);TCO_Opex (€/km);Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
140;PHEV;0.3254;875.7556;27022.3782;0.1853;863.2022;2420544.461;6.9684;16.515;11675.5079;7.5037;477.8714;548.3667;797.2905;1.3438;0.0094;15.3954;6.8884;0.3662;1.3531;10.2984;0.0;0.0;0.0;46.1395;494.9087;160.8384;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;662.0354;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
141;PHEV;0.3256;626.5402;27251.5705;0.1665;613.3497;2259984.303;5.7649;15.6152;10972.2944;7.6246;405.0506;511.9181;861.0942;1.3098;0.0094;16.5647;5.6625;0.2311;1.32;11.6804;0.0;0.0;0.0;44.0477;137.1934;161.4303;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;676.6444;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
142;PHEV;0.4008;739.0744;27366.2035;0.2227;722.6916;2517705.3689;6.2537;15.3483;10012.7951;7.7295;416.6191;570.4231;752.9792;1.8188;0.0094;15.6873;6.1645;0.4156;1.8321;10.8531;0.0;0.0;0.0;42.5134;317.9059;184.2979;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;679.3549;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
143;PHEV;0.4055;683.1924;27292.4537;0.2367;667.1812;2589245.2656;5.9997;15.4836;10444.2593;7.2149;413.1395;586.6633;832.4484;2.1135;0.0097;15.3029;5.9087;0.397;2.1303;11.8059;0.0;0.0;0.0;42.8055;60.9885;163.1772;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;666.9362;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
144;PHEV;0.3209;828.4189;27193.1001;0.1835;815.9774;2462344.5669;6.9454;16.9315;11689.0708;7.4673;421.8437;557.8557;735.1142;1.3244;0.0094;16.4906;6.8545;0.4474;1.3328;10.7415;0.0;0.0;0.0;42.7826;431.1721;170.0973;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;665.3077;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
145;PHEV;0.4201;637.8193;27312.7437;0.2667;623.692;2515397.0903;5.5568;16.6638;10684.9855;7.319;440.5466;569.8991;795.0184;2.7334;0.0094;16.4459;5.4529;0.4329;2.7553;11.6417;0.0;0.0;0.0;44.8244;12.0129;167.2216;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;670.299;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
146;PHEV;0.4264;728.0442;27327.8857;0.271;714.1504;2443307.8762;6.0576;16.5841;10603.8468;7.9375;449.8448;553.5342;842.6442;2.5744;0.0095;15.4485;5.9679;0.481;2.5944;10.735;0.0;0.0;0.0;45.1962;394.5756;182.756;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;672.9119;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
147;PHEV;0.4517;755.2299;27324.2481;0.2934;741.8631;2307109.3081;6.6843;15.362;11235.5112;7.0547;425.9604;522.6159;729.8465;2.6081;0.0099;15.231;6.599;0.3169;2.631;10.6926;0.0;0.0;0.0;45.0837;260.2775;183.1405;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;660.1972;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
148;PHEV;0.3566;714.0432;27325.7001;0.2055;700.5066;2449607.6266;5.9074;15.0897;11992.3601;7.2032;464.3198;554.9643;897.5218;1.8667;0.0095;16.7121;5.8035;0.4646;1.8802;11.0422;0.0;0.0;0.0;45.5355;215.5563;177.4737;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;663.7938;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
149;PHEV;0.405;737.9664;27341.1872;0.252;724.2271;2454242.6852;6.766;15.7249;11359.6968;7.0633;417.2568;556.0165;727.1871;2.0934;0.0091;16.6597;6.6753;0.2508;2.1103;11.7089;0.0;0.0;0.0;45.109;96.4174;168.6911;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;678.6921;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
